id,room_temp,hour,turned_on,temperature,fan_speed
26,16,5,1,23,3
27,15,23,1,23,3
28,17,21,1,23,3
29,17,9,1,23,3
26,17,6,1,23,3
27,13,0,1,23,3
28,20,22,0,21,3
29,16,10,1,22,3
26,14,7,1,23,3
27,8,1,1,23,3
28,16,23,1,23,3
29,20,11,0,20,2
26,15,8,1,23,3
27,10,2,1,23,3
28,13,0,1,23,3
29,25,12,1,20,1
26,17,9,1,23,3
27,13,3,1,23,3
28,14,1,1,23,3
29,20,13,0,20,2
26,23,10,0,20,1
27,14,4,1,23,3
28,11,2,1,23,3
29,22,14,0,20,1
26,25,11,1,20,1
27,13,5,1,23,3
28,9,3,1,23,3
29,21,15,0,20,1
26,28,12,1,20,4
27,16,6,1,23,3
28,14,4,1,23,3
29,24,16,0,20,1
26,25,13,1,20,1
27,20,7,0,21,3
28,14,5,1,23,3
29,22,17,0,20,1
26,28,14,1,20,4
27,21,8,0,21,3
28,19,6,1,23,3
29,23,18,0,20,1
26,27,15,1,20,4
27,15,9,1,23,3
28,12,7,1,23,3
29,20,19,0,20,3
26,19,16,1,22,2
27,17,10,1,22,3
28,16,8,1,23,3
29,17,20,1,22,3
26,23,17,0,20,1
27,19,11,1,22,2
28,19,9,1,23,3
29,16,21,1,23,3
26,20,18,0,20,2
27,29,12,1,20,4
28,21,10,0,20,1
29,19,22,1,23,3
26,19,19,1,22,3
27,27,13,1,20,4
28,17,11,1,22,3
29,17,23,1,23,3
26,21,20,0,20,3
27,26,14,1,20,3
28,26,12,1,20,3
29,13,0,1,23,3
26,20,21,0,21,3
27,28,15,1,20,4
28,22,13,0,20,1
29,8,1,1,23,3
26,17,22,1,23,3
27,20,16,0,20,2
28,22,14,0,20,1
29,16,2,1,23,3
26,20,23,0,21,3
27,21,17,0,20,1
28,27,15,1,20,4
29,11,3,1,23,3
26,15,0,1,23,3
27,22,18,0,20,1
28,20,16,0,20,2
29,10,4,1,23,3
26,12,1,1,23,3
27,20,19,0,20,3
28,23,17,0,20,1
29,19,5,1,23,3
